mol,bond,Atom i,Atom j,Info,Core,Type
0,0,0,1,0,0,2
0,1,1,2,0,0,2
0,2,2,3,0,0,2
0,3,3,4,0,0,2
0,4,4,5,0,0,2
0,5,5,0,0,0,2
0,6,1,6,1,0,2
0,7,6,7,1,0,2
0,8,7,8,1,0,2
0,9,8,9,1,0,2
0,10,9,2,1,0,2
0,11,7,10,2,0,2
0,12,10,11,2,0,2
0,13,11,12,2,0,2
0,14,12,13,2,0,2
0,15,13,8,2,0,2
-
1,0,0,1,0,0,2
1,1,1,2,0,0,2
1,2,2,3,0,0,2
1,3,3,4,0,0,2
1,4,4,5,0,0,2
1,5,5,0,0,0,2
1,6,1,6,1,0,2
1,7,6,7,1,0,2
1,8,7,8,1,0,2
1,9,8,9,1,0,2
1,10,9,2,1,0,0
1,11,3,10,999,0,0
1,12,5,11,999,0,0
1,13,9,12,999,0,0
-
2,0,0,1,0,0,2
2,1,1,2,0,0,2
2,2,2,3,0,0,2
2,3,3,4,0,0,2
2,4,4,5,0,0,2
2,5,5,0,0,0,2
2,6,1,6,2,0,2
2,7,6,7,1,0,2
2,8,7,8,1,0,2
2,9,8,9,1,0,2
2,10,9,10,1,0,2
2,11,10,11,1,0,2
2,12,11,6,1,0,2
2,13,2,12,1002,0,2
2,14,12,11,2,0,2
-
3,0,0,1,0,0,2
3,1,1,2,0,0,2
3,2,2,3,0,0,2
3,3,3,4,0,0,2
3,4,4,5,0,0,2
3,5,5,0,0,0,2
3,6,1,6,2,0,2
3,7,6,7,1,0,2
3,8,7,8,1,0,2
3,9,8,9,1,0,2
3,10,9,10,1,0,2
3,11,10,11,1,0,2
3,12,11,6,1,0,2
3,13,2,12,1001,0,2
3,14,12,11,2,0,2
-
4,0,0,1,999,0,0
4,1,1,2,999,0,0
4,2,2,3,999,0,0
4,3,3,4,999,0,0
4,4,4,5,999,0,0
4,5,5,6,999,0,0
4,6,6,7,999,0,0
4,7,7,8,999,0,0
4,8,8,9,999,0,0
4,9,9,10,999,0,0
4,10,10,11,999,0,0
4,11,11,12,999,0,0
4,12,12,13,1003,0,0
-
5,0,0,1,0,0,2
5,1,1,2,0,0,2
5,2,2,3,0,0,2
5,3,3,4,0,0,2
5,4,4,5,0,0,2
5,5,5,0,0,0,2
5,6,1,6,1,0,2
5,7,6,7,1,0,2
5,8,7,8,1,0,2
5,9,8,9,1,0,2
5,10,9,2,1,0,2
