mol,bond,Atom i,Atom j,Info,Core,Type
0,0,0,1,0,0,2
0,1,1,2,1001,0,2
0,2,2,3,0,0,2
0,3,3,4,0,0,2
0,4,4,5,0,0,2
0,5,5,0,0,0,2
0,6,3,6,1,0,2
0,7,6,7,1,0,2
0,8,7,8,1,0,2
0,9,8,9,1,0,2
0,10,9,4,1,0,2
0,11,5,10,2,0,1
0,12,10,11,2,0,1
0,13,11,12,2,0,1
0,14,12,13,2,0,1
0,15,13,0,2,0,1
0,16,11,14,3,0,1
0,17,14,15,3,0,1
0,18,15,16,3,0,1
0,19,16,17,3,0,1
0,20,17,12,3,0,1
0,21,16,18,4,0,1
0,22,18,19,4,0,1
0,23,19,20,4,0,1
0,24,20,21,4,0,1
0,25,21,17,4,0,1
0,26,21,22,5,0,1
0,27,22,23,5,0,1
0,28,23,13,5,0,1
0,29,6,24,6,0,1
0,30,24,25,6,0,1
0,31,25,26,6,0,1
0,32,26,27,6,0,1
0,33,27,7,6,0,1
0,34,1,28,999,0,0
0,35,8,29,999,0,0
0,36,9,30,999,0,0
0,37,10,31,999,0,0
0,38,31,32,999,0,0
0,39,32,33,999,0,0
0,40,33,34,999,0,0
0,41,34,35,999,0,0
0,42,35,36,999,0,0
0,43,36,37,999,0,0
0,44,37,38,999,0,0
0,45,38,39,999,0,0
0,46,39,40,999,0,0
0,47,40,41,999,0,0
0,48,41,42,999,0,0
0,49,42,43,999,0,0
0,50,43,44,999,0,0
0,51,44,45,999,0,0
0,52,45,46,999,0,0
0,53,46,47,999,0,0
0,54,47,48,999,0,0
0,55,44,49,999,0,0
0,56,32,50,999,0,0
0,57,35,51,999,0,0
0,58,37,52,999,0,0
0,59,38,53,999,0,0
0,60,31,54,999,0,0
0,61,-1,-1,-1,-1,-1
-
1,0,0,1,0,0,2
1,1,1,2,0,0,2
1,2,2,3,0,0,2
1,3,3,4,0,0,2
1,4,4,5,0,0,2
1,5,5,0,0,0,2
1,6,1,6,2,0,1
1,7,6,7,1,0,2
1,8,7,8,1,0,2
1,9,8,9,1,0,2
1,10,9,10,1,0,2
1,11,10,11,1,0,2
1,12,11,6,1,0,2
1,13,2,12,1002,0,1
1,14,12,11,2,0,1
1,15,8,13,3,0,2
1,16,13,14,3,0,2
1,17,14,15,3,0,2
1,18,15,16,3,0,2
1,19,16,9,3,0,2
1,20,4,17,4,0,2
1,21,17,18,4,0,2
1,22,18,19,4,0,2
1,23,19,20,4,0,2
1,24,20,5,4,0,2
1,25,0,21,999,0,0
1,26,10,22,999,0,0
1,27,22,23,999,0,0
1,28,23,24,1001,0,0
1,29,25,26,5,1,2
1,30,26,27,5,1,2
1,31,27,28,5,1,2
1,32,28,29,5,1,2
1,33,29,30,5,1,2
1,34,30,25,5,1,2
1,35,28,31,6,1,2
1,36,31,32,6,1,2
1,37,32,33,6,1,2
1,38,33,34,6,1,2
1,39,34,29,6,1,2
1,40,30,35,7,1,1
1,41,35,36,7,1,1
1,42,36,37,7,1,1
1,43,37,38,7,1,1
1,44,38,25,7,1,1
1,45,31,39,8,1,1
1,46,39,40,8,1,1
1,47,40,41,8,1,1
1,48,41,42,8,1,1
1,49,42,32,8,1,1
1,50,26,43,999,1,0
1,51,27,44,999,1,0
1,52,44,45,999,1,0
1,53,45,46,999,1,0
1,54,46,47,999,1,0
